Year,Miners,Fatalities,MiningSector
1900,"448,581","1,489",Coal
1901,"485,544","1,574",Coal
1902,"518,197","1,724",Coal
1903,"566,260","1,926",Coal
1904,"593,693","1,995",Coal
1905,"626,045","2,232",Coal
1906,"640,780","2,138",Coal
1907,"680,492","3,242",Coal
1908,"690,438","2,445",Coal
1909,"666,552","2,642",Coal
1910,"725,030","2,821",Coal
1911,"728,348","2,656",Coal
1912,"722,662","2,419",Coal
1913,"747,644","2,785",Coal
1914,"763,185","2,454",Coal
1915,"734,008","2,269",Coal
1916,"720,971","2,226",Coal
1917,"757,317","2,696",Coal
1918,"762,426","2,580",Coal
1919,"776,569","2,323",Coal
1920,"784,621","2,272",Coal
1921,"823,253","1,995",Coal
1922,"844,807","1,984",Coal
1923,"862,536","2,462",Coal
1924,"779,613","2,402",Coal
1925,"748,805","2,518",Coal
1926,"759,033","2,234",Coal
1927,"759,177","2,231",Coal
1928,"682,831","2,176",Coal
1929,"654,494","2,187",Coal
1930,"644,006","2,063",Coal
1931,"589,705","1,463",Coal
1932,"527,623","1,207",Coal
1933,"523,182","1,064",Coal
1934,"566,426","1,226",Coal
1935,"565,202","1,242",Coal
1936,"584,582","1,342",Coal
1937,"589,856","1,413",Coal
1938,"541,528","1,105",Coal
1939,"539,375","1,078",Coal
1940,"533,267","1,388",Coal
1941,"546,692","1,266",Coal
1942,"530,861","1,471",Coal
1943,"486,516","1,451",Coal
1944,"453,937","1,298",Coal
1945,"437,921","1,068",Coal
1946,"463,079",968.00,Coal
1947,"490,356","1,158",Coal
1948,"507,333",999.00,Coal
1949,"485,306",585.00,Coal
1950,"483,239",643.00,Coal
1951,"441,905",785.00,Coal
1952,"401,329",548.00,Coal
1953,"351,126",461.00,Coal
1954,"283,705",396.00,Coal
1955,"260,089",420.00,Coal
1956,"260,285",448.00,Coal
1957,"254,725",478.00,Coal
1958,"224,890",358.00,Coal
1959,"203,597",293.00,Coal
1960,"189,679",325.00,Coal
1961,"167,568",294.00,Coal
1962,"161,286",289.00,Coal
1963,"157,126",284.00,Coal
1964,"150,761",242.00,Coal
1965,"148,734",259.00,Coal
1966,"145,244",233.00,Coal
1967,"139,312",222.00,Coal
1968,"134,467",311.00,Coal
1969,"133,302",203.00,Coal
1970,"144,480",260.00,Coal
1971,"142,108",181.00,Coal
1972,"162,207",156.00,Coal
