Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
03/17/1839,Black Heath,Richmond,VA,53,Coal,Explosion,UG,Coal
06/14/1844,Black Heath,Richmond,VA,11,Coal,Explosion,UG,Coal
01/11/1846,No. 1,Carbondale,PA,14,Coal,Cave-in,UG,Coal
02/18/1847,Spencer,Pottsville,PA,7,Coal,Explosion,UG,Coal
11/29/1850,"Cox's Pit, Clover Hill",Winterpock,VA,7,Coal,Explosion,UG,Coal
05/14/1854,Chesterfield,New Richmond,VA,20,Coal,Explosion,UG,Coal
03/18/1855,Midlothian,Coalfield,VA,55,Coal,Explosion,UG,Coal
04/12/1859,Bright Hope,Winterpock,VA,9,Coal,Explosion,UG,Coal
11/29/1863,"Raccoon, Clover Hill",Winterpock,VA,17,Coal,Explosion,UG,Coal
04/02/1867,Bright Hope,Winterpock,VA,69,Coal,Explosion,UG,Coal
04/06/1869,Kentucky-Yellow Jacket,Gold Hill,NV,37,Gold,Fire in timbers,UG,Metal
09/05/1869,Avondale,Plymouth,PA,110,Coal,Fire,UG,Coal
03/21/1870,Potts,Locustdale,PA,5,Coal,Explosion,UG,Coal
08/09/1870,Heins & Glassmire,Middleport,PA,9,Coal,Cage fall (shaft),UG,Coal
08/28/1870,Preston No. 3,Girardville,PA,7,Coal,Cage fall (shaft),UG,Coal
05/26/1871,West Pittston,West Pittston,PA,20,Coal,Smoke,UG,Coal
08/13/1871,Eagle Shaft,Pittston,PA,17,Coal,Explosion,UG,Coal
10/01/1871,Otto Red Ash,Branch Dale,PA,5,Coal,Explosion,UG,Coal
07/02/1872,Atwater Slope,Atwater Township,OH,10,Coal,Fire,UG,Coal
06/09/1873,Henry Clay,Shamokin,PA,10,Coal,Fire,UG,Coal
09/19/1873,Yellow Jacket,Gold Hill,NV,6,Gold,Fire blacksmith forge,UG,Metal
02/12/1874,Phoenix,Phoenix,MI,6,Copper,Explosion of dynamite,Surface,Metal
05/29/1874,Amador,Amador,CA,5,Gold,Cage fell to bottom,UG,Metal
05/19/1876,Midlothian,Coalfield,VA,8,Coal,Fire,UG,Coal
07/23/1876,Black Diamond,Nortonville,CA,6,Coal,Fire,UG,Coal
05/08/1877,Wadesville,Wadesville,PA,7,Coal,Explosion,UG,Coal
07/10/1877,Brookfield,Brookfield,OH,7,Coal,Suffocation,UG,Coal
01/14/1878,Potts,Locust Dale,PA,5,Coal,Explosion,UG,Coal
11/20/1878,Sullivan,Sullivan,IN,8,Coal,Explosion,UG,Coal
05/05/1879,Audenried,Audenried,PA,6,Coal,Explosion,UG,Coal
10/02/1879,Tioga,Bodie,CA,6,Gold,Cage accident,UG,Metal
11/01/1879,Mill Creek,Mill Creek,PA,5,Coal,Explosion,UG,Coal
03/04/1880,No. 2 Shaft,Nanticoke,PA,6,Coal,Explosion,UG,Coal
05/02/1880,Lykens Valley,Shamokin,PA,5,Coal,Explosion,UG,Coal
02/09/1881,Robbins,Robbins,OH,6,Coal,Explosion,UG,Coal
02/15/1881,Belmont,Belmont,MT,6,Copper,Fire from blacksmith,UG,Metal
03/03/1881,Almy,Almy,WY,38,Coal,Explosion,UG,Coal
02/02/1882,Midlothian,Coalfield,VA,32,Coal,Explosion,UG,Coal
05/23/1882,Kohinoor,Shenandoah,PA,5,Coal,Explosion,UG,Coal
01/08/1883,Coulterville,Coulterville,IL,10,Coal,Explosion,UG,Coal
02/15/1883,Diamond,Braidwood,IL,69,Coal,Inrush of water,UG,Coal
01/23/1884,Crested Butte,Crested Butte,CO,59,Coal,Explosion,UG,Coal
02/19/1884,West Leisenring,West Leisenring,PA,19,Coal,Explosion,UG,Coal
03/12/1884,Laurel,Pocahontas,VA,112,Coal,Explosion,UG,Coal
05/02/1884,Gouverneur,Gouverneur,NY,6,Marble,Explosion of boiler,Surface,Stone
08/20/1884,Buck Ridge,Shamokin,PA,7,Coal,Fire,UG,Coal
10/26/1884,Youngstown,Uniontown,PA,14,Coal,Explosion,UG,Coal
04/05/1885,Cuyler,Raven Run,PA,10,Coal,Roof fall,UG,Coal
08/10/1885,West End,Mocanaqua,PA,10,Coal,Gas/boiler fire,UG,Coal
10/20/1885,Plymouth No. 2,Plymouth,PA,6,Coal,Explosion,UG,Coal
11/12/1885,Bull Domingo,Silver Cliff,CO,10,"Silver, Gold",Dynamite explosion,UG,Metal
12/17/1885,Slope No. 1,Nanticoke,PA,26,Coal,Inrush of water,UG,Coal
01/11/1886,Almy No. 4,Almy,WY,13,Coal,Explosion,UG,Coal
01/20/1886,Newburg,Newburg,WV,39,Coal,Explosion,UG,Coal
03/07/1886,Uniondale,Dunbar,PA,6,Coal,Explosion,UG,Coal
08/29/1886,Fair Lawn,Scranton,PA,6,Coal,Explosion,UG,Coal
09/12/1886,Marvine,Scranton,PA,8,Coal,Suffocated by gas,UG,Coal
11/25/1886,Conyngham,Wilkes-Barre,PA,12,Coal,Explosion,UG,Coal
04/03/1887,Old Savanna No. 2,Savanna,OK,18,Coal,Explosion,UG,Coal
04/26/1887,Tunnel,Ashland,PA,5,Coal,Suffocated by gas,UG,Coal
09/30/1887,Bast,Ashland,PA,5,Coal,Suffocated by gas,UG,Coal
03/28/1888,Keith & Perry No. 6,Rich Hill,MO,24,Coal,Explosion,UG,Coal
11/02/1888,Kettle Creek,Clinton Co.,PA,17,Coal,Explosion,UG,Coal
11/08/1888,Shaft No. 2,Frontenac,KS,40,Coal,Explosion,UG,Coal
05/08/1889,Kaska William,Middleport,PA,10,Coal,Mine car fell on men in cage,UG,Coal
